Country,Key,Region,Importance
ru,ad,"Республика Адыгея ",0
ru,al,"Республика Алтай",0
ru,alt,"Алтайский край",0
ru,amu,"Амурская область",0
ru,ark,"Архангельская область",0
ru,ast,"Астраханская область",0
ru,ba,"Республика Башкортостан",0
ru,bel,"Белгородская область",0
ru,bry,"Брянская область",0
ru,bu,"Республика Бурятия",0
ru,ce,"Республика Чечня",0
ru,che,"Челябинская область",0
ru,chu,"Чукотский автономный округ",0
ru,crim,"Республика Крым",0
ru,cu,"Республика Чувашия",0
ru,da,"Республика Дагестан",0
ru,in,"Республика Ингушетия",0
ru,irk,"Иркутская область",0
ru,iva,"Ивановская область",0
ru,kam,"Камчатский край",0
ru,kb,"Республика Кабардино-Балкария",0
ru,kc,"Республика Карачаево-Черкесия",0
ru,kda,"Краснодарский край",0
ru,kem,"Кемеровская область",0
ru,kgd,"Калининградская область",0
ru,kgn,"Курганская область",0
ru,kha,"Хабаровский край",0
ru,khm,"Ханты-Мансийский автономный округ - Югра",0
ru,kir,"Кировская область",0
ru,kk,"Республика Хакасия",0
ru,kl,"Республика Калмыкия",0
ru,klu,"Калужская область",0
ru,ko,"Республика Коми",0
ru,kos,"Костромская область",0
ru,kr,"Республика Карелия",0
ru,krs,"Курская область",0
ru,kya,"Красноярский край",0
ru,len,"Ленинградская область",0
ru,lip,"Липецкая область",0
ru,mag,"Магаданская область",0
ru,me,"Республика Марий Эл",0
ru,mo,"Республика Мордовия",0
ru,mos,"Московская область",1
ru,mow,Москва,1
ru,mur,"Мурманская область",0
ru,nen,"Ненецкий автономный округ",0
ru,ngr,"Новгородская область",0
ru,niz,"Нижегородская область",0
ru,nvs,"Новосибирская область",0
ru,oms,"Омская область",0
ru,ore,"Оренбургская область",0
ru,orl,"Орловская область",0
ru,per,"Пермский край",0
ru,pnz,"Пензенская область",0
ru,pri,"Приморский край",0
ru,psk,"Псковская область",0
ru,ros,"Ростовская область",0
ru,rya,"Рязанская область",0
ru,sa,"Республика Саха",0
ru,sak,"Сахалинская область",0
ru,sam,"Самарская область",0
ru,sar,"Саратовская область",0
ru,se,"Республика Северная Осетия",0
ru,smo,"Смоленская область",0
ru,spe,Санкт-Петербург,0
ru,sta,"Ставропольский край",0
ru,sve,"Свердловская область",0
ru,ta,"Республика Татарстан",0
ru,tam,"Тамбовская область",0
ru,tom,"Томская область",0
ru,tul,"Тульская область",0
ru,tve,"Тверская область",0
ru,ty,"Республика Тыва",0
ru,tyu,"Тюменская область",0
ru,ud,"Республика Удмуртия",0
ru,uly,"Ульяновская область",0
ru,vgg,"Волгоградская область",0
ru,vla,"Владимирская область",0
ru,vlg,"Вологодская область",0
ru,vor,"Воронежская область",0
ru,yan,"Ямало-Ненецкий автономный округ",0
ru,yar,"Ярославская область",0
ru,yev,"Еврейская автономная область",0
ru,zab,"Забайкальский край",0